study_id,status,n_artifacts,depth_note,has_env_file,has_docker,has_conda,has_pip,triples,resolve_success,build_success,stage_failed,fair_r,tier,license,has_commit,py_declared,py_used,ladder_ok
study062,ok,1,root,True,False,False,True,30,False,False,resolve,21.1,poor,,True,,3.10,True
study063,ok,16,deep,True,True,False,True,114,True,True,,31.1,poor,Apache-2.0,True,3.12,3.12,True
study064,ok,1,root,True,False,True,False,90,,False,,31.1,poor,MIT,True,3.8,3.8,True
study065,ok,3,root,True,False,False,True,40,False,False,resolve,21.1,poor,,True,,3.10,True
study066,ok,2,subdir,True,True,False,True,43,True,True,,31.1,poor,Apache-2.0,True,3.8,3.8,True
study067,ok,2,root,True,False,False,True,126,False,False,resolve-timeout,31.1,poor,MIT,True,3.9,3.9,True
study068,ok,1,root,True,False,False,True,445,False,False,resolve,21.1,poor,,True,,3.10,True
study069,ok,2,root,True,False,False,True,30,False,False,resolve,21.1,poor,,True,,3.10,True
study070,ok,1,root,True,False,False,True,21,True,True,,31.1,poor,MIT,True,,3.10,True
study071,ok,2,root,True,False,False,True,46,True,True,,31.1,poor,MIT,True,,3.10,True
study072,ok,1,root,True,False,False,True,36,True,True,,31.1,poor,MIT,True,,3.10,True
study073,ok,9,root,True,False,True,True,190,False,False,resolve,26.1,poor,LicenseRef-Custom,True,3.11,3.11,True
study074,ok,3,root,True,False,False,True,76,False,False,resolve,31.1,poor,MIT,True,,3.10,True
study075,ok,3,root,True,False,True,True,80,True,True,,31.1,poor,MIT,True,,3.10,True
study076,ok,1,root,True,False,False,True,51,True,True,,31.1,poor,MIT,True,,3.10,True
study077,ok,3,root,True,False,False,True,411,False,False,resolve-timeout,31.1,poor,MIT,True,3.12,3.12,True
study078,ok,1,root,True,False,False,True,50,False,False,resolve,21.1,poor,,True,,3.10,True
study079,ok,1,root,True,False,False,True,101,False,False,resolve,31.1,poor,Apache-2.0,True,,3.10,True
study080,ok,1,root,True,False,True,False,1174,,False,,21.1,poor,,True,3.8,3.8,True
study081,ok,1,root,True,False,False,True,116,False,False,resolve,31.1,poor,MIT,True,,3.10,True
study082,ok,2,root,True,False,True,False,809,True,True,,21.1,poor,,True,3.8,3.8,True
study083,ok,5,root,True,False,True,True,195,True,True,,31.1,poor,MIT,True,3.8,3.8,True
study084,ok,7,root,True,False,False,True,31,True,True,,31.1,poor,BSD-3-Clause,True,3.12,3.12,True
study085,ok,1,root,True,False,True,False,95,,False,,31.1,poor,GPL-2.0,True,,3.10,True
study086,ok,4,subdir,True,False,True,True,965,True,True,,31.1,poor,MIT,True,3.9,3.9,True
study087,ok,1,root,True,False,True,False,1050,,False,,31.1,poor,MIT,True,3.8,3.8,True
study088,ok,2,root,True,False,False,True,21,True,True,,31.1,poor,Apache-2.0,True,3.12,3.12,True
study089,ok,1,root,True,False,False,True,60,False,False,resolve,21.1,poor,,True,,3.10,True
study090,ok,3,root,True,False,False,True,66,False,False,resolve,31.1,poor,MIT,True,,3.10,True
study091,ok,1,root,True,True,False,False,13,,False,,31.1,poor,MIT,True,,3.10,True
study092,ok,2,subdir,True,True,False,True,12,False,False,resolve,21.1,poor,,True,,3.10,True
study093,ok,2,root,True,False,False,True,46,True,True,,26.1,poor,LicenseRef-Custom,True,3.12,3.12,True
study094,ok,4,root,True,False,False,True,166,True,True,,31.1,poor,Apache-2.0,True,,3.10,True
study095,ok,2,root,True,False,False,True,281,False,False,resolve,26.1,poor,LicenseRef-Custom,True,,3.10,True
study096,ok,1,root,True,False,False,True,221,False,False,resolve,31.1,poor,MIT,True,,3.10,True
