study_id,fair_r_v1,resolve,build,licence_present,python_declared,has_docker,has_conda,has_pip,multi_env_decl,artifacts_at_root,n_artifacts,metadata_richness
study085,51.79,,False,1,0,0,1,0,0,1,1.0,4.564348191467836
study086,51.79,True,True,1,1,0,1,1,1,0,4.0,6.873163834212518
study087,51.79,,False,1,1,0,1,0,0,1,1.0,6.957497370876951
study088,51.79,True,True,1,1,0,0,1,1,1,2.0,3.091042453358316
study089,44.29,False,False,0,0,0,0,1,0,1,1.0,4.110873864173311
study090,51.79,False,False,1,0,0,0,1,1,1,3.0,4.204692619390966
study091,42.79,,False,1,0,1,0,0,0,1,1.0,2.639057329615259
study092,44.29,False,False,0,0,1,0,1,1,0,2.0,2.5649493574615367
study093,48.04,True,True,1,1,0,0,1,1,1,2.0,3.8501476017100584
study094,51.79,True,True,1,0,0,0,1,1,1,4.0,5.117993812416755
study095,48.04,False,False,1,0,0,0,1,1,1,2.0,5.641907070938114
study096,26.62,False,False,1,0,0,0,1,0,1,1.0,5.402677381872279
