outcome,criterion,rho,p_raw,p_fdr,p_bonferroni
resolve_success,Persistent identifier,-0.1219043933357247,0.26351216934004995,0.3952682540100749,1.0
resolve_success,Descriptive metadata,0.1219043933357247,0.26351216934004995,0.3952682540100749,1.0
resolve_success,Method declared,0.0180647910317525,0.8688747066165247,0.8688747066165247,1.0
resolve_success,Software licence,0.24390577066890934,0.023630418309465044,0.14178250985679025,0.14178250985679025
resolve_success,Methodological transparency (R2),0.15701317176671664,0.14881070153364812,0.3952682540100749,0.8928642092018887
resolve_success,Data provenance (R3),-0.06662892378458564,0.5421748470923867,0.6506098165108641,1.0
build_success,Persistent identifier,-0.11363310286178555,0.29752821076503677,0.4273548688126968,1.0
build_success,Descriptive metadata,0.11363310286178555,0.29752821076503677,0.4273548688126968,1.0
build_success,Method declared,0.007184675623484039,0.9476534506834557,0.9476534506834557,1.0
build_success,Software licence,0.20925469259325427,0.053160240048034914,0.3189614402882095,0.3189614402882095
build_success,Methodological transparency (R2),0.11318485662069995,0.29945043400889637,0.4273548688126968,1.0
build_success,Data provenance (R3),-0.10072498767190753,0.356129057343914,0.4273548688126968,1.0
