study_id,has_docker,has_conda,has_pip,in_subdir,license_present,triples,resolve_success,build_success,fair_r,fair_findable,fair_accessible,fair_interoperable,fair_reusable,fair_reproducible,has_seed,stars,final_tier,log_stars,log_triples
study045,0,1,1,0,1,1400,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,0,99,build_only,4.605170185988092,7.244941546337007
study046,1,0,1,0,1,83,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,69,build_only,4.248495242049359,4.430816798843313
study047,0,1,1,0,1,30,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,12,build_only,2.5649493574615367,3.4339872044851463
study048,0,0,1,0,1,101,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,1,22,build_only,3.1354942159291497,4.624972813284271
study049,1,0,0,1,1,13,,,42.79,7.5,5.62,6.67,12.5,10.5,0,346,build_only,5.849324779946859,2.639057329615259
study050,0,1,0,0,1,470,,,47.29,7.5,5.62,6.67,12.5,15.0,1,8,build_only,2.1972245773362196,6.154858094016418
study051,0,0,1,0,1,46,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,1,3,build_only,1.3862943611198906,3.8501476017100584
study052,0,0,1,0,0,85,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,1,0,build_only,0.0,4.454347296253507
study053,0,0,1,0,1,71,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,1,287,build_only,5.662960480135946,4.276666119016055
study054,1,0,0,0,0,12,1.0,1.0,35.29,7.5,5.62,6.67,5.0,10.5,0,8,build_only,2.1972245773362196,2.5649493574615367
study055,1,0,1,0,1,79,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,5,build_only,1.791759469228055,4.382026634673881
study056,0,1,1,0,1,2460,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,2,build_only,1.0986122886681096,7.8083230503910555
study057,0,1,0,0,1,1435,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,0,45,build_only,3.828641396489095,7.269616749608169
study058,0,0,1,0,1,31,0.0,0.0,42.79,7.5,5.62,6.67,12.5,10.5,0,344,build_only,5.84354441703136,3.4657359027997265
study059,0,0,1,0,1,431,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,1,5,build_only,1.791759469228055,6.068425588244111
study060,1,0,1,1,1,48,1.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,8044,build_only,8.992806059426483,3.8918202981106265
study061,0,1,0,0,1,65,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,0,48,build_only,3.8918202981106265,4.189654742026425
study062,0,0,1,0,0,30,0.0,0.0,35.29,7.5,5.62,6.67,5.0,10.5,1,52,build_only,3.970291913552122,3.4339872044851463
study063,1,0,1,1,1,114,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,1379,build_only,7.22983877815125,4.74493212836325
study064,0,1,0,0,1,90,,,51.79,7.5,5.62,6.67,12.5,19.5,0,607,build_only,6.410174881966167,4.51085950651685
study065,0,0,1,0,0,40,0.0,0.0,39.79,7.5,5.62,6.67,5.0,15.0,0,182,build_only,5.209486152841421,3.713572066704308
study066,1,0,1,1,1,43,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,18,build_only,2.9444389791664403,3.784189633918261
study067,0,0,1,0,1,126,0.0,0.0,56.29,7.5,5.62,6.67,12.5,24.0,1,1,build_only,0.6931471805599453,4.844187086458591
study068,0,0,1,0,0,445,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,1,11,build_only,2.4849066497880004,6.100318952020064
study069,0,0,1,0,0,30,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,0,214,build_only,5.3706380281276624,3.4339872044851463
study070,0,0,1,0,1,21,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,1,45,build_only,3.828641396489095,3.091042453358316
